"Date","Team","Opponent","Minutes","Rebounds","DefRebounds","FTDefRebounds","DefFTReboundPct","Def2ptRebounds","Def2ptReboundPct","Def3ptRebounds","Def3ptReboundPct","DefFGReboundPct","OffRebounds","FTOffRebounds","OffFTReboundPct","Off2ptRebounds","Off2ptReboundPct","Off3ptRebounds","Off3ptReboundPct","OffFGReboundPct","DefAtRimReboundPct","DefShortMidRangeReboundPct","DefLongMidRangeReboundPct","DefArc3ReboundPct","DefCorner3ReboundPct","OffAtRimReboundPct","OffShortMidRangeReboundPct","OffLongMidRangeReboundPct","OffArc3ReboundPct","OffCorner3ReboundPct"
"2015-03-18","GSW","ATL","29:41",4,3,0,0,3,0.10344827586206896,0,0,0.07894736842105263,1,0,0,0,0,1,0.07692307692307693,0.038461538461538464,0.3333333333333333,0,0,0,0,0,0,0,0.1,0
"2015-03-16","GSW","LAL","32:40",4,4,0,0,4,0.16666666666666666,0,0,0.14814814814814814,0,0,0,0,0,0,0,0,0,0.14285714285714285,0.21428571428571427,0,0,0,0,0,0,0
"2015-03-14","GSW","NYK","26:56",3,3,0,0,1,0.05,2,0.2,0.1,0,0,0,0,0,0,0,0,0.125,0,0,0.2857142857142857,0,0,0,0,0,0
"2015-03-11","GSW","DET","33:57",5,4,0,0,3,0.09090909090909091,1,0.14285714285714285,0.1,1,0,0,1,0.05555555555555555,0,0,0.03333333333333333,0.09090909090909091,0.07692307692307693,0.1111111111111111,0.14285714285714285,0,0.16666666666666666,0,0,0,0
"2015-03-09","GSW","PHX","35:46",6,3,0,0,3,0.10714285714285714,0,0,0.08823529411764706,3,0,0,2,0.09090909090909091,1,0.07142857142857142,0.08333333333333333,0.2,0.0625,0.14285714285714285,0,0,0,0,0.2222222222222222,0.09090909090909091,0
"2015-03-08","GSW","LAC","31:58",1,1,0,0,0,0,1,0.08333333333333333,0.03571428571428571,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0,0,0,0,0
"2015-03-06","GSW","DAL","30:53",2,2,0,0,2,0.06666666666666667,0,0,0.05714285714285714,0,0,0,0,0,0,0,0,0,0,0.18181818181818182,0,0,0,0,0,0,0
"2015-03-04","GSW","MIL","36:35",1,1,0,0,0,0,1,0.125,0.027777777777777776,0,0,0,0,0,0,0,0,0,0,0,0.14285714285714285,0,0,0,0,0,0
"2015-03-02","GSW","BKN","29:16",2,2,0,0,1,0.05555555555555555,1,0.14285714285714285,0.08,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.2,0,0,0,0,0,0
"2015-03-01","GSW","BOS","37:38",4,4,0,0,2,0.05128205128205128,2,0.14285714285714285,0.07547169811320754,0,0,0,0,0,0,0,0,0.058823529411764705,0,0.058823529411764705,0.16666666666666666,0,0,0,0,0,0
"2015-02-27","GSW","TOR","25:01",6,3,0,0,0,0,3,0.375,0.10344827586206896,3,0,0,1,0.06666666666666667,2,0.2857142857142857,0.13636363636363635,0,0,0,0.6,0,0,0,0.2,0.2,0.5
"2015-02-26","GSW","CLE","33:50",3,3,0,0,2,0.1111111111111111,1,0.08333333333333333,0.1,0,0,0,0,0,0,0,0,0,0.25,0,0.1111111111111111,0,0,0,0,0,0
"2015-02-24","GSW","WAS","33:50",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2015-02-20","GSW","SAS","31:53",4,4,0,0,2,0.1,2,0.2222222222222222,0.13793103448275862,0,0,0,0,0,0,0,0,0.3333333333333333,0,0,0.2,0.25,0,0,0,0,0
"2015-02-11","GSW","MIN","35:30",5,3,0,0,3,0.08823529411764706,0,0,0.07692307692307693,2,0,0,1,0.043478260869565216,1,0.05555555555555555,0.04878048780487805,0.14285714285714285,0.2222222222222222,0,0,0,0,0.125,0,0.07692307692307693,0
"2015-02-09","GSW","PHI","31:46",5,5,0,0,4,0.19047619047619047,1,0.1111111111111111,0.16666666666666666,0,0,0,0,0,0,0,0,0,0,0.6666666666666666,0.14285714285714285,0,0,0,0,0,0
"2015-02-07","GSW","NYK","31:19",6,4,0,0,4,0.14285714285714285,0,0,0.11764705882352941,2,0,0,1,0.05263157894736842,1,0.1111111111111111,0.07142857142857142,0.1,0,0.3,0,0,0,0,0.14285714285714285,0,0.25
"2015-02-06","GSW","ATL","36:12",2,2,0,0,2,0.09523809523809523,0,0,0.06666666666666667,0,0,0,0,0,0,0,0,0,0.1111111111111111,0.16666666666666666,0,0,0,0,0,0,0
"2015-02-04","GSW","DAL","36:57",4,4,0,0,3,0.13043478260869565,1,0.07142857142857142,0.10810810810810811,0,0,0,0,0,0,0,0,0.14285714285714285,0.2,0,0.07142857142857142,0,0,0,0,0,0
"2015-02-03","GSW","SAC","28:35",5,5,0,0,5,0.23809523809523808,0,0,0.18518518518518517,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.36363636363636365,0,0,0,0,0,0,0
"2015-01-31","GSW","PHX","37:28",4,3,0,0,3,0.09090909090909091,0,0,0.07142857142857142,1,0,0,1,0.045454545454545456,0,0,0.02857142857142857,0,0.15384615384615385,0.0625,0,0,0,0.16666666666666666,0,0,0
"2015-01-30","GSW","UTA","33:59",7,6,0,0,5,0.20833333333333334,1,0.1111111111111111,0.18181818181818182,1,0,0,0,0,1,0.06666666666666667,0.027777777777777776,0.09090909090909091,0.2,0.375,0.14285714285714285,0,0,0,0,0,0.5
"2015-01-27","GSW","CHI","42:58",4,4,0,0,1,0.03225806451612903,3,0.1875,0.0851063829787234,0,0,0,0,0,0,0,0,0,0.07142857142857142,0,0.15384615384615385,0.3333333333333333,0,0,0,0,0
"2015-01-25","GSW","BOS","33:03",4,4,0,0,4,0.2,0,0,0.12121212121212122,0,0,0,0,0,0,0,0,0,0,0.36363636363636365,0,0,0,0,0,0,0
"2015-01-23","GSW","SAC","29:03",4,3,0,0,1,0.045454545454545456,2,0.25,0.1,1,0,0,1,0.1,0,0,0.04,0.1,0,0,0,0.6666666666666666,0,0,0.16666666666666666,0,0
"2015-01-21","GSW","HOU","33:39",3,1,0,0,1,0.047619047619047616,0,0,0.030303030303030304,2,0,0,1,0.05555555555555555,1,0.08333333333333333,0.06666666666666667,0,0.16666666666666666,0,0,0,0,0.2,0,0,0.3333333333333333
"2015-01-19","GSW","DEN","25:14",1,0,0,0,0,0,0,0,0,1,0,0,1,0.07142857142857142,0,0,0.043478260869565216,0,0,0,0,0,0,0,0.25,0,0
"2015-01-17","GSW","HOU","33:00",7,4,0,0,3,0.10714285714285714,1,0.08333333333333333,0.1,3,0,0,3,0.17647058823529413,0,0,0.1,0.1,0.07692307692307693,0.2,0.125,0,0.1111111111111111,0.3333333333333333,0.2,0,0
"2015-01-16","GSW","OKC","31:12",3,3,0,0,2,0.11764705882352941,1,0.125,0.12,0,0,0,0,0,0,0,0,0.2,0.14285714285714285,0,0.14285714285714285,0,0,0,0,0,0
"2015-01-14","GSW","MIA","32:06",5,3,0,0,2,0.1,1,0.125,0.10714285714285714,2,0,0,1,0.058823529411764705,1,0.07692307692307693,0.06666666666666667,0.2,0.07692307692307693,0,0,0.3333333333333333,0,0.3333333333333333,0,0.07692307692307693,0
"2015-01-13","GSW","UTA","29:13",2,2,0,0,2,0.13333333333333333,0,0,0.08,0,0,0,0,0,0,0,0,0,0.25,0.2,0,0,0,0,0,0,0
"2015-01-09","GSW","CLE","35:00",1,1,0,0,0,0,1,0.09090909090909091,0.02857142857142857,0,0,0,0,0,0,0,0,0,0,0,0.14285714285714285,0,0,0,0,0,0
"2015-01-07","GSW","IND","34:47",3,3,0,0,1,0.06666666666666667,2,0.14285714285714285,0.10344827586206896,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0,0,0,0,0
"2015-01-05","GSW","OKC","31:17",9,9,0,0,6,0.1935483870967742,3,0.25,0.20930232558139536,0,0,0,0,0,0,0,0,0.16666666666666666,0.08333333333333333,0.42857142857142855,0.2,0.5,0,0,0,0,0
"2015-01-02","GSW","TOR","33:56",5,3,0,0,2,0.10526315789473684,1,0.1111111111111111,0.10714285714285714,2,0,0,2,0.1111111111111111,0,0,0.06666666666666667,0,0.16666666666666666,0.125,0.14285714285714285,0,0.25,0,0,0,0
